variant,load_balance_weight,column,router_support_count,router_support_fraction,column_value_norm,mean_router_score,ablate_loss,ablate_loss_delta,ablate_logit_mse,ablate_residual_stream_l2_delta,force_loss,force_loss_delta,force_logit_mse,force_residual_stream_l2_delta
baseline,0.0,0,28,0.0546875,4.03328800201416,-1.6585317850112915,2.9666264057159424,0.05422544479370117,0.006934712175279856,0.18906038999557495,4.227919101715088,1.3155181407928467,0.3022121489048004,5.848720550537109
baseline,0.0,1,8,0.015625,4.626405239105225,-7.958930015563965,2.96199893951416,0.049597978591918945,0.005285999272018671,0.14457514882087708,4.27526330947876,1.3628623485565186,0.31897538900375366,6.227527618408203
baseline,0.0,2,144,0.28125,4.103384971618652,6.6274566650390625,2.979966878890991,0.06756591796875,0.008728555403649807,0.2564699351787567,4.201282978057861,1.2888820171356201,0.28935113549232483,5.742526054382324
baseline,0.0,3,4,0.0078125,4.037480354309082,-2.270786762237549,2.939493417739868,0.027092456817626953,0.0018882679287344217,0.0630856305360794,4.269539833068848,1.3571388721466064,0.2839147448539734,6.037065029144287
baseline,0.0,4,12,0.0234375,4.595019340515137,-5.396464824676514,2.95564603805542,0.04324507713317871,0.004362659063190222,0.14359436929225922,4.302737712860107,1.3903367519378662,0.313730388879776,6.426864147186279
baseline,0.0,5,22,0.04296875,4.709991455078125,-4.031998634338379,2.9832980632781982,0.07089710235595703,0.007163449190557003,0.2023823857307434,4.260735034942627,1.3483340740203857,0.3082079291343689,6.208053112030029
baseline,0.0,6,45,0.087890625,4.622800827026367,-0.5919874906539917,3.104262351989746,0.19186139106750488,0.02157740108668804,0.6500812768936157,4.148983001708984,1.2365820407867432,0.28031477332115173,5.588476181030273
baseline,0.0,7,0,0.0,1.052088737487793,-11.724361419677734,2.912400960922241,0.0,0.0,0.0,4.137100696563721,1.2246997356414795,0.1571161448955536,4.450915336608887
baseline,0.0,8,8,0.015625,4.527703762054443,-7.551279067993164,2.9574992656707764,0.045098304748535156,0.0050526694394648075,0.14149074256420135,4.207201957702637,1.2948009967803955,0.2992796301841736,6.110320568084717
baseline,0.0,9,31,0.060546875,4.6834001541137695,-1.393007755279541,3.016519784927368,0.10411882400512695,0.014551274478435516,0.42024263739585876,4.239740371704102,1.3273394107818604,0.30423861742019653,5.938233375549316
baseline,0.0,10,35,0.068359375,4.3134307861328125,-0.8467788696289062,2.9894521236419678,0.07705116271972656,0.013182899914681911,0.33698683977127075,4.278792858123779,1.366391897201538,0.31504225730895996,5.831162452697754
baseline,0.0,11,11,0.021484375,4.248342514038086,-5.2986602783203125,2.951663017272949,0.03926205635070801,0.004155030008405447,0.11616561561822891,4.292240619659424,1.3798396587371826,0.32326221466064453,6.174407005310059
